datetime_added,product_id,game,description,metacritic_score,release_date,price
16-01-24 10:55,NS-014,DAVE THE DIVER,"Dive by day! Serve by night! The best diving, harpooning, action-adventuring, and sushi restaurant managing experience you'll ever have.",88,25-10-23,"Rp261.663,24"
01-08-24 16:47,NS-015,Bayonetta 2,"Take climactic action with you, wherever you go, with Bayonetta 2 for Nintendo Switch!",92,16-Feb-18,"Rp637.313,62"
09-08-24 2:17,NS-016,Cat Quest III,Set sail on a purrfect catventure!,88,07-08-24,"Rp163.658,53"
28-08-24 14:47,NS-017,Castlevania Dominus Collection,"Three incredible action adventure games from the Castlevania series have finally returned, for the first time!",92,27-Aug-24,"Rp216.000,29"
30-08-24 15:30,NS-018,The Legend of Zelda: Breath of the Wild,Explore a vast and dangerous land to help Link regain his memories following a 100-year slumber in this critically-acclaimed open-air adventure.,97,03-Mar-17,"Rp837.104,30"
30-08-24 16:47,NS-019,Super Smash Bros Ultimate,Legendary game worlds and fighters collide in the ultimate showdown Super Smash Bros. Ultimate for Nintendo Switch!,93,07-Dec-18,"Rp754.451,71"
04-09-24 16:47,NS-020,Portal: Companion Collection,Break the laws of spatial physics in the hilariously mind-bending adventures of Portal and Portal 2!,95,28-Jun-22,"Rp173.899,37"
07-09-24 10:01,NS-021,Mario Kart 8 Deluxe,"With Nintendo Switch, fans can enjoy the definitive version of Mario Kart 8 anywhere, anytime, even with up to eight friends in local wireless multiplayer.",92,28-Apr-17,"Rp717.175,32"
07-09-24 14:47,NS-022,The Legend of Zelda: Tears of the Kingdom,An epic adventure across the land and skies of Hyrule awaits in The Legend of Zelda: Tears of the Kingdom for Nintendo Switch.,96,12-May-23,"Rp861.308,15"
08-09-24 14:27,NS-023,Metroid Prime: Remastered,"Become the bounty hunter once again in Metroid Prime Remastered! The critically-acclaimed, first-person adventure has been revamped for Nintendo Switch.",94,08-Feb-23,"Rp468.813,30"
08-09-24 15:40,NS-024,Undertale,The future is yours to determine!,93,15-Sep-18,"Rp176.622,68"
09-09-24 15:40,NS-025,A Monster's Expedition,Through Puzzling Exhibitions,92,05-Aug-21,"Rp362.033,94"
12-09-24 11:47,NS-026,OneShot: World Machine Edition,You only have one shot.,92,22-Sep-22,"Rp179.893,47"
13-09-24 11:02,NS-027,Super Mario Bros Wonder,Expect the unexpected in Mario's latest 2D side-scrolling adventure!,92,20-Oct-23,"Rp708.671,26"
14-09-24 10:00,NS-028,Celeste,"Brave hundreds of hand-crafted challenges in this super-tight platformer, as you help Madeline survive her journey to the top of Celeste Mountain!",92,25-Jan-18,"Rp163.658,53"
16-09-24 13:00,NS-029,"Braid, Anniversary Edition",Solve puzzles by changing the flow of time.,94,14-May-24,"Rp208.688,25"
16-09-24 13:02,NS-030,Ori and the Will of the Wisps,Play the critically acclaimed masterpiece.,93,17-Sep-20,"Rp332.029,12"
16-09-24 17:47,NS-031,Super Mario Odyssey,"Join Mario on a massive, globe-trotting 3D adventure and use his incredible new abilities to rescue Princess Peach from Bowser's wedding plans!",97,27-Oct-17,"Rp753.611,73"
17-09-24 9:16,NS-032,Spelunky 2,Spelunky returns in this greatly-expanded sequel to the original roguelike platformer!,92,26-Aug-21,"Rp270.385,34"
18-09-24 13:01,NS-033,Tetris Effect: Connected,"Local or online multiplayer, anywhere, and anyway you plays all Connected!",94,08-Oct-21,"Rp478.267,69"
19-09-24 9:07,NS-034,The Making of Karateka,"Play the history of Prince of Persia creator Jordan Mechner's landmark debut game, Karateka.",90,29-Aug-23,"Rp163.658,53"
19-09-24 10:47,NS-035,COCOON,An adventure across worlds within worlds.,89,29-Sep-23,"Rp231.581,80"
